diachi,dongxe,giatien,hang,hopso,kieudang,maunoithat,namsanxuat,nhienlieu,socho,socua,sokmdadi,tenxe,tinhtrang,xuatxu
Hồ Chí Minh,e250,"
1 tỷ 948 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Đen
",Năm sản xuất: 2017,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(50 km)
","[Ưu đãi Tháng 10/2020] E250 Đăng kí 2019 - Bao sang tên, bảo hiểm - Giao xe Toàn Quốc","
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,e250,"
1 tỷ 948 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Nâu
",Năm sản xuất: 2017,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(100 km)
",[Xã kho Tháng 10/2020] E250 Chính Hãng - xuất hóa đơn đủ - Bao Sang tên + Bảo hiểm,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,e250,"
1 tỷ 950 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Nâu
",Năm sản xuất: 2017,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(4000 km)
",[Ưu đãi Tháng 10/2020] E250 Đăng kí 2019 - Ưu Đãi 100% Thuế Trước Bạ - Giao xe Toàn Quốc,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hà Nội,xc90,"
3 tỷ 340 triệu 
",volvo,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Xanh dương
",Năm sản xuất: 2017,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",5,"
(1 km)
",Bán Volvo XC90 Thụy Điển 2017 ,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,e200,"
1 tỷ 950 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Đen
",Năm sản xuất: 2019,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(9900 km)
",Cần bán E 200 2019 qua sử dụng Chính hãng  - 0901 59 58 58,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,e250,"
1 tỷ 950 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Nâu
",Năm sản xuất: 2017,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(2000 km)
",E250 siêu lướt - Tặng Thuế- Tặng bảo hiểm- Tặng dán film- tặng đổi màu sơn ,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hà Nội,santa_fe,"
360 triệu 
",hyundai,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Đen
",Năm sản xuất: 2008,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",4,"
(83000 km)
",Bán xe Huyndai Santafe máy xăng số tự động đời 2008,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,ecosport,"
590 triệu 
",ford,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Đỏ
",Năm sản xuất: 2018,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",5,"
(49000 km)
",Bán Ford Ecosport Titanium 1.5 2018 cũ Hồ Chí Minh,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,cla250,"
1 tỷ 789 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Coupe
","
Màu ngoại thất: Đỏ
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(30 km)
",Bán Mercedes-Benz CLA250 4MATIC COUPE 2020 -TRẮNG-XE TRƯNG BÀY MIỄN THUẾ 100%,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,e250,"
2 tỷ 20 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2017,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(6000 km)
","Bán Mercedes-Benz E250 cũ, màu trắng.. ưu đãi Đặc Biệt nhất","
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
