diachi,dongxe,giatien,hang,hopso,kieudang,maunoithat,namsanxuat,nhienlieu,socho,socua,sokmdadi,tenxe,tinhtrang,xuatxu
Hồ Chí Minh,everest,"
459 triệu 
",ford,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Hồng
",Năm sản xuất: 2010,"
Nhiên liệu: Dầu
","
Số ghế ngồi: 7
",5,"
(91000 km)
",Bán Ford Everest Limited dầu 2.5 số tự động model 2011 sx T12/2010 màu hồng phấn tuyệt đẹp ,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,explorer,"
1 tỷ 940 triệu 
",ford,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2018,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",5,"
(44000 km)
",Bán Ford Explorer 2.3L Limited 2018 cũ,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,c200,"
1 tỷ 449 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Đen
",Năm sản xuất: 2019,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(50 km)
",Chuyên Mercedes chính hãng C200 đen demo giá cực tốt,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,wigo,"
352 triệu 
",toyota,"
Hộp số: Số tay
","
Kiểu dáng: Hatchback
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",5,"
(1 km)
",TOYOTA WIGO Mới - Khuyến Mại Cực Lớn - Chỉ 140 Triệu nhận xe ngay,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,x5,"
2 tỷ 880 triệu 
",bmw,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Nâu
",Năm sản xuất: 2018,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",4,"
(18000 km)
",Bán BMW X5  Xdrive 35i đklđ 6/2018 xe mua thùng,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,vios,"
545 triệu 
",toyota,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2019,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(8000 km)
",Toyota Vios G siêu lướt giá cả hợp lý,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hà Nội,gls450,"
5 tỷ 599 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",5,"
(5000 km)
",Bán Mercedes-Benz GLS450 sx2020 cũ Hà Nội,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,tundra,"
2 tỷ 890 triệu 
",toyota,"
Hộp số: Tự động
","
Kiểu dáng: Pickup
","
Màu ngoại thất: Đen
",Năm sản xuất: 2016,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 4
",4,"
(48000 km)
",Siêu bán tải Toyota Tundra 1794 Edition 2016 Siêu Lướt - Giá Tốt,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hà Nội,3,"
689 triệu 
",mazda,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Xám
",Năm sản xuất: 2019,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"
(25000 km)
",Bán Mazda 3 Luxury 2019 cũ Hà Nội,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
