,GiaTien,Hang,DongXe,NamSanXuat,SoKmDaDi,TinhTrang,HopSo,NhienLieu,XuatXu,KieuDang,SoCho,DiaDiem
0,458000000,chevrolet,colorado,2017,35000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
1,624000000,toyota,innova,2017,32000,Cũ,Tự động,Xăng,Trong nước,Minivan (MPV),7,Bình Dương
2,275000000,kia,morning,2019,1100,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
3,235000000,kia,morning,2017,38,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Thanh Hóa
4,258000000,kia,morning,2018,4000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
5,699000000,nissan,x trail,2016,68000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
6,436000000,hyundai,santa fe,2007,103000,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
7,438000000,toyota,vios,2019,16000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
8,183000000,toyota,vios,2010,150000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
9,615000000,toyota,fortuner,2014,71000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
10,295000000,kia,morning,2011,96000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
11,528000000,toyota,vios,2019,5900,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
12,450000000,toyota,vios,2017,68000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
13,658000000,toyota,innova,2019,46000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Đồng Tháp
14,530000000,suzuki,swift,2019,10,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
15,680000000,mazda,6,2017,42000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Đà Nẵng
16,458000000,kia,cerato,2018,42000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
