,count,mean,std,min,25%,50%,75%,max
GiaTien,37486.0,1313932674.4117804,81381035587.87764,0.0,300000000.0,489000000.0,710000000.0,11099000000000.0
SoKmDaDi,37486.0,55637.64205303313,103570.52830606457,0.0,40.0,30000.0,70000.0,1000000.0
SoCho,37486.0,5.665608493837699,1.7025070174889472,2.0,5.0,5.0,7.0,29.0
TinhTrang_Cũ,37486.0,0.7745291575521528,0.4178975956104414,0.0,1.0,1.0,1.0,1.0
TinhTrang_Mới,37486.0,0.2254708424478472,0.4178975956104414,0.0,0.0,0.0,0.0,1.0
Hang_acura,37486.0,0.0007469455263298298,0.027320459555880063,0.0,0.0,0.0,0.0,1.0
Hang_alfa romeo,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
Hang_asia,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
Hang_audi,37486.0,0.00450834978391933,0.06699361383513865,0.0,0.0,0.0,0.0,1.0
Hang_baic,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
Hang_bentley,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
Hang_bmw,37486.0,0.011257536146828149,0.1055040329416265,0.0,0.0,0.0,0.0,1.0
Hang_buick,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
Hang_byd,37486.0,0.0001600597556421064,0.01265062867218139,0.0,0.0,0.0,0.0,1.0
Hang_cadillac,37486.0,0.0003201195112842128,0.017889258564434223,0.0,0.0,0.0,0.0,1.0
Hang_changan,37486.0,0.00024008963346315958,0.015493172491310716,0.0,0.0,0.0,0.0,1.0
Hang_chery,37486.0,0.00018673638158245745,0.013664058394397082,0.0,0.0,0.0,0.0,1.0
Hang_chevrolet,37486.0,0.04663074214373366,0.2108494771324073,0.0,0.0,0.0,0.0,1.0
Hang_chrysler,37486.0,0.00021341300752280852,0.01460729798719998,0.0,0.0,0.0,0.0,1.0
Hang_daewoo,37486.0,0.023235341194045776,0.1506521342965095,0.0,0.0,0.0,0.0,1.0
Hang_daihatsu,37486.0,0.001200448167315798,0.03462714365682439,0.0,0.0,0.0,0.0,1.0
Hang_dodge,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
Hang_dongben,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
Hang_dongfeng,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
Hang_ferrari,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
Hang_fiat,37486.0,0.0018406871898842235,0.042864298370561646,0.0,0.0,0.0,0.0,1.0
Hang_ford,37486.0,0.11740383076348504,0.32190516553145854,0.0,0.0,0.0,0.0,1.0
Hang_geely,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
Hang_gmc,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
Hang_haima,37486.0,0.0003467961372245638,0.018619482217639226,0.0,0.0,0.0,0.0,1.0
Hang_hino,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
Hang_honda,37486.0,0.05063223603478632,0.2192484778773009,0.0,0.0,0.0,0.0,1.0
Hang_hummer,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
Hang_hyundai,37486.0,0.13767806647815184,0.34456637052626876,0.0,0.0,0.0,0.0,1.0
Hang_infiniti,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
Hang_isuzu,37486.0,0.0069892759963719785,0.083310330508926,0.0,0.0,0.0,0.0,1.0
Hang_jac,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
Hang_jaguar,37486.0,0.00042682601504561704,0.020655634009153743,0.0,0.0,0.0,0.0,1.0
Hang_jeep,37486.0,0.0001600597556421064,0.012650628672181388,0.0,0.0,0.0,0.0,1.0
Hang_kia,37486.0,0.12404631062263245,0.32963877528540575,0.0,0.0,0.0,0.0,1.0
Hang_lada,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
Hang_lamborghini,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
Hang_land_rover,37486.0,0.0017339806861228191,0.041605530580448954,0.0,0.0,0.0,0.0,1.0
Hang_landrover,37486.0,0.003067811983140372,0.05530354511927309,0.0,0.0,0.0,0.0,1.0
Hang_lexus,37486.0,0.009336819079122873,0.09617634659547343,0.0,0.0,0.0,0.0,1.0
Hang_lifan,37486.0,0.00026676625940351065,0.016331019866543704,0.0,0.0,0.0,0.0,1.0
Hang_lincoln,37486.0,0.0007469455263298298,0.027320459555880066,0.0,0.0,0.0,0.0,1.0
Hang_luxgen,37486.0,0.00021341300752280852,0.01460729798719998,0.0,0.0,0.0,0.0,1.0
Hang_maserati,37486.0,0.00018673638158245745,0.013664058394397084,0.0,0.0,0.0,0.0,1.0
