diachi,dongxe,giatien,hang,hopso,kieudang,maunoithat,namsanxuat,nhienlieu,socho,socua,tenxe,tinhtrang,xuatxu
Hà Nội,lux-sa-2-0,"
1 tỷ 19 triệu 
",vinfast,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",5,VINFAST LUX SA 2.0 GIẢM GIÁ 10% | TẶNG THUẾ TRƯỚC BẠ + ECODE 120TR,"
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,fadil,"
389 triệu 
",vinfast,"
Hộp số: Tự động
","
Kiểu dáng: Hatchback
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",5,"VinFast Fadil - Trả Góp Lãi Suất 0% - Đủ màu - Giao Ngay - giảm 10% giá niêm yết, - tặng phụ kiện","
Tình trạng xe: Mới
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,e200,"
2 tỷ 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Đen
",Năm sản xuất: 2019,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"E200 đã qua sử dụng chính hãng, đăng kí 12/2019. LH: 0916921108","
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,s450,"
3 tỷ 900 triệu 
",mercedes_benz,"
Hộp số: Tự động
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Xanh dương
",Năm sản xuất: 2019,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"S450 đã qua sử dụng, đăng kí 2020. LH: 0916 92 11 08","
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,zxs,"
490 triệu 
",isuzu,"
Hộp số: Số tay
","
Kiểu dáng: Van
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2015,"
Nhiên liệu: Dầu
","
Số ghế ngồi: 29
",1,Thanh lý 48 xe SAMCO 3.0 đời 2015,"
Tình trạng xe: Cũ
","
Xuất xứ: Nhập khẩu
"
Hồ Chí Minh,fortuner,"
995 triệu 
",toyota,"
Hộp số: Số tay
","
Kiểu dáng: SUV
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2020,"
Nhiên liệu: Dầu
","
Số ghế ngồi: 7
",4,"TOYOTA FORTUNER 2021 ĐỦ MÀU, GIAO NGAY, 255TR CÓ XE - LH  0932.142.022","
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,transit,"
780 triệu 
",ford,"
Hộp số: Số tay
","
Kiểu dáng: Van
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2018,"
Nhiên liệu: Dầu
","
Số ghế ngồi: 10
",4,Transit Limousine Chở Chuyên Gia - Option Khủng - Giá Tốt,"
Tình trạng xe: Cũ
","
Xuất xứ: Lắp ráp
"
Bình Dương,cx_8,"
999 triệu 
",mazda,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",5,Mazda CX-8 DELUXE 2020 - ƯU ĐÃI TIỀN MẶT KHỦNG - QUÀ TẶNG TRỊ GIÁ KHỦNG - TẶNG BHVC,"
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,county,"
1 tỷ 350 triệu 
",hyundai,"
Hộp số: Số tay
","
Kiểu dáng: Van
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Dầu
","
Số ghế ngồi: 29
",2,"Hyundai County, Xe 29 chỗ máy siêu bền","
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,ranger,"
630 triệu 
",ford,"
Hộp số: Số tay
","
Kiểu dáng: Pickup
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Dầu
","
Số ghế ngồi: 5
",4,"Ford Ranger XLS 2020 mới Hồ Chí Minh - Hỗ trợ trả góp và đăng kí các thủ tục - Xe có sẵn, đủ màu","
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Bình Dương,3008,"
1 tỷ 69 triệu 
",peugeot,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Đỏ
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,Peugeot 3008AL ( bản cao cấp 2020) giá tốt nhất  Bình Dương,"
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,accent,"
430 triệu 
",hyundai,"
Hộp số: Số tay
","
Kiểu dáng: Sedan
","
Màu ngoại thất: Trắng
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 5
",4,"HYUNDAI ACCENT KHUYẾN MÃI LÊN ĐẾN 20 TRIỆU, TẶNG GÓI PHỤ KIỆN 10 TRIỆU. NHẬN XE CHỈ 150 TRIỆU ĐỒNG","
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
Hồ Chí Minh,cx_8,"
1 tỷ 69 triệu 
",mazda,"
Hộp số: Tự động
","
Kiểu dáng: SUV
","
Màu ngoại thất: Nhiều màu
",Năm sản xuất: 2020,"
Nhiên liệu: Xăng
","
Số ghế ngồi: 7
",5,"Mazda CX-8 2020 - Tặng gói phụ kiện chính hãng - Giá ưu đãi, xe có sẵn, đủ màu, giao ngay","
Tình trạng xe: Mới
","
Xuất xứ: Lắp ráp
"
