TinhTrang,Hang,DongXe,SoKmDaDi,GiaTien,NamSanXuat,DiaDiem,SoCho,XuatXu,KieuDang,NhienLieu,HopSo
Đã sử dụng,Kia,Morning,30000,250000000,2018,Gia Lai,5,Trong nước,Hatchback,Xăng,Số sàn
Đã sử dụng,Kia,Morning,68000,285000000,2011,Hà Nội,5,Nhập khẩu,Hatchback,Xăng,Tự động
Mới,Mercedes Benz,S Class,,4299000000,2020,Hồ Chí Minh,5,Nhập khẩu,Sedan,Xăng,Tự động
Đã sử dụng,Toyota,Camry,6245,890000000,2016,Hà Nội,5,Trong nước,Sedan,Xăng,Tự động
Đã sử dụng,Isuzu,Hi lander,124533,179000000,2008,Cần Thơ,7,Nhập khẩu,Sedan,Dầu,Số sàn
Đã sử dụng,Toyota,Vios,15600,155000000,2007,Đồng Nai,5,Trong nước,Sedan,Xăng,Số sàn
Đã sử dụng,Mazda,3,16000,638000000,2019,Hà Nội,5,Trong nước,Hatchback,Xăng,Tự động
Đã sử dụng,Mazda,3,23000,580000000,2018,Đắk Lắk,5,Trong nước,Hatchback,Xăng,Tự động
Đã sử dụng,Mitsubishi,Pajero,130000,660000000,2016,Hồ Chí Minh,7,Nhập khẩu,SUV / Cross over,Dầu,Tự động
Đã sử dụng,Kia,Cerato,48000,485000000,2018,Hà Nội,5,Nhập khẩu,Sedan,Xăng,Số sàn
Đã sử dụng,Isuzu,Dmax,56000,515000000,2017,Hồ Chí Minh,5,,Pick-up (bán tải),Dầu,Tự động
Đã sử dụng,Toyota,Cressida,100000,45000000,1989,Hà Nội,,,,,Số sàn
Đã sử dụng,Toyota,Vios,52000,399000000,2017,Hồ Chí Minh,5,Trong nước,Sedan,Xăng,Số sàn
Mới,Hyundai,Grand i10,,388000000,2020,Hà Nội,5,Trong nước,Hatchback,Xăng,Tự động
Mới,Ford,Ranger,,615000000,2020,Hồ Chí Minh,5,Nhập khẩu,Pick-up (bán tải),Dầu,Bán tự động
Đã sử dụng,Toyota,Innova,53000,650000000,2019,Hồ Chí Minh,8,,Minivan (MPV),Xăng,Số sàn
Đã sử dụng,Hyundai,Grand i10,58,316000000,2015,Hà Nội,5,Nhập khẩu,Hatchback,Xăng,Tự động
