,GiaTien,Hang,DongXe,NamSanXuat,SoKmDaDi,TinhTrang,HopSo,NhienLieu,XuatXu,KieuDang,SoCho,DiaDiem
0,458000000.0,Chevrolet,Colorado,2017,35000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
1,624000000.0,Toyota,Innova,2017,32000,Cũ,Tự động,Xăng,Trong nước,Minivan (MPV),7,Bình Dương
5,275000000.0,Kia,Morning,2019,1100,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
7,235000000.0,Kia,Morning,2017,38,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,hanh Hóa
10,258000000.0,Kia,Morning,2018,4000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
11,699000000.0,Nissan,X trail,2016,68000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
12,436000000.0,Hyundai,Santa Fe,2007,103000,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
13,438000000.0,Toyota,Vios,2019,16000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
14,183000000.0,Toyota,Vios,2010,150000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
15,615000000.0,Toyota,Fortuner,2014,71000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
16,295000000.0,Kia,Morning,2011,96000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
17,528000000.0,Toyota,Vios,2019,5900,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
18,450000000.0,Toyota,Vios,2017,68000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
19,658000000.0,Toyota,Innova,2019,46000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Đồng Tháp
20,530000000.0,Suzuki,Swift,2019,10,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
22,680000000.0,Mazda,6,2017,42000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Đà Nẵng
23,458000000.0,Kia,Cerato,2018,42000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
24,125000000.0,Daewoo,Lacetti,2008,150000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Vĩnh Phúc
25,538000000.0,Honda,Jazz,2019,20000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hồ Chí Minh
26,635000000.0,Toyota,Innova,2018,86000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Cần Thơ
27,590000000.0,Toyota,Fortuner,2014,1100,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
28,539000000.0,Hyundai,Elantra,2017,32000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
29,605000000.0,Mitsubishi,Xpander,2019,19000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),7,Hồ Chí Minh
30,316000000.0,Kia,Morning,2016,5800,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
31,625000000.0,Mazda,CX 5,2015,50000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hà Nội
32,53000000.0,Toyota,Corona,1989,180000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bắc Giang
33,230000000.0,Hyundai,Grand i10,2016,11000,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Đà Nẵng
34,810000000.0,LandRover,Range Rover Vogue,2009,86000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hồ Chí Minh
38,419000000.0,Hyundai,Elantra,2016,76000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,hanh Hóa
39,260000000.0,Chevrolet,Captiva,2008,90000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hồ Chí Minh
40,486000000.0,Mazda,2,2019,15000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Long An
41,255000000.0,Hyundai,Grand i10,2015,70,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
42,418000000.0,Mazda,3,2014,53000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
43,350000000.0,Chevrolet,Cruze,2014,72000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
44,1130000000.0,Toyota,Fortuner,2020,2700,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
45,550000000.0,Hyundai,Elantra,2017,48000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
48,455000000.0,Kia,K3,2015,61000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Đắk Lắk
51,565000000.0,Ford,Ranger,2014,10000,Cũ,Tự động,Dầu,Trong nước,Pick-up (bán tải),5,Hà Nội
53,280000000.0,Kia,Morning,2011,50000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
54,228000000.0,Chevrolet,Spark,2015,9,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
55,175000000.0,Daewoo,Lacetti,2010,85000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
56,328000000.0,Hyundai,Sonata,2009,100000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
57,123456000.0,Kia,Sorento,2018,31000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Ninh Bình
59,515000000.0,Ford,Ranger,2017,53000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Lâm Đồng
60,488000000.0,Honda,City,2017,53700,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
61,409000000.0,Toyota,Vios,2018,41,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Đồng Nai
63,430000000.0,Toyota,Corolla Altis,2010,12000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
64,915000000.0,Hyundai,Santa Fe,2017,30000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Vĩnh Phúc
65,900000000.0,Toyota,Highlander,2011,60000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
67,526000000.0,Suzuki,Swift,2019,3239,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Bình Dương
69,419000000.0,Hyundai,Accent,2015,45000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
71,655000000.0,Toyota,Yaris,2019,10000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
72,2080000000.0,Lexus,RX,2014,85000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
73,2080000000.0,Lexus,RX,2014,85000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
74,480000000.0,Mercedes Benz,CLS Class,2007,86000,Cũ,Tự động,Xăng,Nhập khẩu,Kiểu dáng khác,5,Hồ Chí Minh
75,380000000.0,Hyundai,Accent,2018,9000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
78,190000000.0,BMW,3 Series,2003,150000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
79,678000000.0,Kia,Sorento,2016,36000,Cũ,Bán tự động,Dầu,Trong nước,SUV / Cross over,7,Hồ Chí Minh
81,2190000000.0,Toyota,Land Cruiser,2014,11000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
82,425000000.0,Toyota,Vios,2016,45000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
84,220000000.0,Kia,Morning,2012,57000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,2,Hà Nội
85,580000000.0,Mitsubishi,Xpander,2019,12000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),5,Hà Nội
86,479000000.0,Chevrolet,Captiva,2015,96000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hồ Chí Minh
88,509000000.0,Ford,Ranger,2016,80000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
91,500000000.0,Kia,K3,2016,45000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
92,720000000.0,Toyota,Fortuner,2016,75000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
93,800000000.0,Kia,Sorento,2018,30000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
97,219000000.0,Toyota,Vios,2010,12000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
98,185000000.0,Kia,Morning,2012,12345,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Đắk Lắk
99,218000000.0,Kia,Morning,2013,7000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,2,Hà Nội
100,198000000.0,Kia,Morning,2009,10000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
101,548000000.0,Ford,Ranger,2018,51000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
102,55000000.0,Fiat,Siena,2001,269857,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bình Thuận
103,1450000000.0,BMW,X4,2014,10,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
106,358000000.0,Kia,Morning,2019,12000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
108,163000000.0,Hyundai,Getz,2009,16,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
110,203000000.0,Kia,Morning,2010,7000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
111,910000000.0,Honda,CR V,2018,25000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
112,395000000.0,Ssangyong,Rexton,2008,157000,Cũ,Bán tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
114,45000000.0,Chevrolet,Trailblazer,2001,180000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
115,579000000.0,Ford,Focus,2017,46000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
116,2650000000.0,Mercedes Benz,E Class,2019,5000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
117,980000000.0,Mercedes Benz,S Class,2011,68000,Cũ,Tự động,Động cơ Hybrid,Nhập khẩu,Sedan,4,Hồ Chí Minh
118,605000000.0,Mazda,3,2018,28000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
120,2080000000.0,Mercedes Benz,E Class,2017,10,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
121,893000000.0,Hyundai,Tucson,2019,5200,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,5,Hà Nội
123,1130000000.0,Toyota,Fortuner,2020,2700,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
124,403000000.0,Toyota,Vios,2018,28000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
125,595000000.0,Mitsubishi,Pajero Sport,2014,50000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Hồ Chí Minh
128,215000000.0,Ford,Everest,2005,190,Cũ,Số sàn,Xăng,Trong nước,,7,Hồ Chí Minh
129,310000000.0,Mazda,2,2013,61000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Bà Rịa - Vũng Tàu
130,880000000.0,Mitsubishi,Pajero,2017,61000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
131,450000000.0,Kia,Sorento,2013,150000,Cũ,Số sàn,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
132,248000000.0,Kia,Morning,2016,38000,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Hồ Chí Minh
134,268000000.0,BMW,X5,2005,86000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hồ Chí Minh
135,475000000.0,Ford,Ranger,2016,6000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
137,165000000.0,Ford,Mondeo,2004,140339,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
